sep=,
mcc,mnc,lac,cellid,lat,lon,signal,measured_at,rating,speed,direction,act,ta,psc,tac,pci,sid,nid,bid
248,2,1021,13228984,59.4004752,24.6964807,-53,1512924029117,27.8,0.0,0.0,HSPA+,,-1,,,,,
248,2,1021,13228984,59.4004081,24.6961405,-53,1512924039141,24.8,0.0,0.0,HSPA+,,-1,,,,,
248,2,1021,13228984,59.4006369,24.696075,-53,1512924051733,24.0,0.3357889,0.0,HSPA+,,-1,,,,,
248,2,1021,13228984,59.400624,24.6961068,-54,1512924057000,7.3,0.076754615,125.0,HSPA+,,-1,,,,,
248,2,1021,13228984,59.4004807,24.6956466,-51,1512924067000,4.6,4.5271306,283.0,HSPA+,,-1,,,,,
248,2,1021,13228984,59.4007091,24.6952072,-53,1512924072000,3.9,7.706906,327.0,HSPA+,,-1,,,,,
248,2,1021,13228984,59.4008585,24.6950795,-51,1512924082000,3.9,1.8155639,0.0,HSPA,,-1,,,,,
248,2,1021,13228984,59.4008725,24.6950683,-51,1512924087000,5.2,2.215823,316.0,HSPA,,-1,,,,,
248,2,1021,13228984,59.4013492,24.6943952,-55,1512924097000,8.2,8.485704,316.0,HSPA,,-1,,,,,
248,2,1021,13228984,59.4018285,24.6925456,-59,1512924107000,6.8,11.716682,296.0,HSPA,,-1,,,,,
248,2,1021,13228984,59.4020932,24.6916311,-57,1512924112000,9.7,11.89708,299.0,HSPA,,-1,,,,,
248,2,1021,13228984,59.402588,24.6898506,-63,1512924122000,10.2,10.655208,297.0,HSPA,,-1,,,,,
248,2,1021,13228984,59.4029923,24.6882639,-66,1512924132000,12.6,9.338797,296.0,HSPA,,-1,,,,,
248,2,1021,13228984,59.4031572,24.6876092,-66,1512924137000,7.4,5.518272,297.0,HSPA,,-1,,,,,
248,2,1021,13228984,59.4032372,24.6873352,-63,1512924142000,6.3,1.7317314,289.0,HSPA,,-1,,,,,
248,2,1021,13228984,59.4034224,24.6866703,-63,1512924152000,10.2,8.980074,296.0,HSPA,,-1,,,,,
